Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Education (Higher Education),Departmental Business Manager,,"44,000.00",0.00,,North Carolina,Chapel Hill,5-7 years,2-4 years,College degree,Woman,White
35-44,Government and Public Administration,Human Resources Specialist,,"66,805.00",,,Kansas,Wichita,11-20 years,5-7 years,Some college,Woman,White
25-34,"Accounting, Banking & Finance",CPA (tax senior associate),,"70,000.00","5,000.00",,Missouri,Overland Park,8-10 years,5-7 years,Master's degree,Woman,White
55-64,Government and Public Administration,Director of Administrative Services,,"80,000.00",0.00,,Florida,Brooksville,21-30 years,8-10 years,Some college,Woman,White
25-34,Engineering or Manufacturing,Aerospace Engineer,,"110,000.00",,,Texas,Houston,2-4 years,2-4 years,Master's degree,Woman,Middle Eastern or Northern African
35-44,Law,Attorney,8 years out of law school,"170,000.00","60,000.00",bonus ($40k) + 401k contribution ($20k),California,Los Angeles,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education (Higher Education),Benefits Manager (Human Resources),,"72,000.00",,,Virginia,Newport News,11-20 years,11-20 years,Master's degree,Woman,Black or African American
45-54,Public Libraries,Systemwide Products Director,Responsible for the various teams that purchase or otherwise acquire library materials for our customers.,"98,500.00",0.00,,Oklahoma,Tulsa,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Computing or Tech,LMS Administrator,,"59,000.00",,,Massachusetts,Northampton,8-10 years,5-7 years,College degree,Man,White
25-34,Pharmaceutical Research,Senior Research Associate,,"63,000.00","1,000.00",,California,Long Beach,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
18-24,"Accounting, Banking & Finance",Financial reporting analyst,,"82,500.00","5,000.00",,New Jersey,Newark,2-4 years,2-4 years,College degree,Woman,White
45-54,Property or Construction,Realtor,,"85,000.00",,Commission only,Montana,Missoula,21-30 years,5-7 years,Master's degree,Woman,White
35-44,Law,Network Engineer,,"105,000.00","3,000.00",,California,Irvine,11-20 years,11-20 years,College degree,Man,White
35-44,Property or Construction,CFO/COO,,"323,000.00",0.00,,Maryland,Largo,11-20 years,11-20 years,Master's degree,Woman,White
45-54,"Accounting, Banking & Finance",president,,"200,000.00","250,000.00",the extra is owner dividend/distribution,North Carolina,Asheville,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Government and Public Administration,Public Health Coordinator,,"61,000.00",,,Missouri,Saint Louis,11-20 years,5-7 years,College degree,Man,White
45-54,Sales,Regional Sales Manager,,"86,000.00","10,000.00",,Ohio,Columbus,21-30 years,11-20 years,College degree,Woman,White
45-54,Engineering or Manufacturing,Software Engineer,Aerospace and Defense Electronics,"165,000.00","20,000.00",PTO paid out as bonus,Virginia,Northern Va,21-30 years,11-20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,veterinary biotech,senior systems engineer,,"89,000.00","10,000.00",pre-tax,Maine,Westbrook,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education (Higher Education),Senior International Scholar Advisor,Immigration paperwork for university employees,"70,000.00",0.00,,New York,New York,8-10 years,8-10 years,Master's degree,Woman,White
45-54,Computing or Tech,Field Services Regional Supervisor,Supervise a team of IT professionals for a section of the us,"90,000.00","7,200.00",,Arizona,Chandler,21-30 years,21-30 years,Master's degree,Man,White
35-44,"Accounting, Banking & Finance",Customer Service Agent,,"36,000.00",0.00,,Florida,Tampa,8-10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Nonprofits,Director,Executive director,"98,600.00",0.00,,California,San Francisco,11-20 years,8-10 years,Some college,Woman,White
25-34,Nonprofits,Publications Manager,,"45,000.00",,,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Sales & Marketing Manager,Marketing & Sales Manager,"45,000.00",500.00,,Nevada,Carson,5-7 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Software Trainer,I train software administrators,"63,000.00","3,500.00",,Wisconsin,Madison,2-4 years,2-4 years,College degree,Woman,White
25-34,Insurance,Commercial Account Manager,,"62,000.00","5,000.00",,Washington,Tacoma,8-10 years,8-10 years,College degree,Woman,"Asian or Asian American, White"
35-44,Law,Attorney,,"89,000.00",0.00,,Michigan,Detroit,5-7 years,5-7 years,Master's degree,Man,White
45-54,Education (Higher Education),Program Assistant,,"38,750.00",0.00,,Illinois,Normal,21-30 years,2-4 years,College degree,Woman,White
25-34,Media & Digital,Producer,,"90,000.00","2,000.00",,California,Los Angeles,8-10 years,5-7 years,College degree,Woman,White
45-54,Health care,Sr. Production Manager,Healthcare foodservice,"63,000.00","1,000.00",,Arizona,Prescott,31-40 years,31-40 years,College degree,Woman,White
35-44,Nonprofits,Controller,,"74,000.00",0.00,,Pennsylvania,Pittsburgh,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing consultant,,"70,000.00",,,Michigan,Southfield,11-20 years,8-10 years,College degree,Woman,White
25-34,Entertainment,People Operations Coordinator,HR Coordinator,"50,000.00","2,500.00",,New York,New York,2-4 years,2-4 years,College degree,Non-binary,"White, Another option not listed here or prefer not to answer"
25-34,Hospitality & Events,Food Service Managee,,"45,700.00",,,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
25-34,Education (Primary/Secondary),High School Math Teacher,,"432,000.00",,Private School Teacher - No union or collective bargaining,Illinois,Des Plaines,5-7 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Annual Fund Manager,,"50,000.00","1,250.00",,Maine,Augusta,11-20 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Product Manager - Technical,My company invented a differentiation between product manager (PM) and product manager-technical (PM-T) in order to set higher pay ranges for engineering-facing roles.,"128,000.00","137,000.00","My company pays with a combination of base salary + stock shares. This is normal for a tech company and normally might not be considered ""average"" yearly income BUT due to the value of that stock (currently > $3K/share), it makes up over half my pay.",Washington,Seattle,11-20 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Technical Program Manager II,,"130,000.00","13,000.00","Also ESPP at 15% off, and 4% 401k",Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Property or Construction,Development & Implementation Specialist,"I help public agencies (higher ed, healthcare, state, local & federal govt.) with a specific form of construction contracting to complete projects.","73,000.00","1,500.00",,California,Santa Rosa,11-20 years,5-7 years,Some college,Woman,White
25-34,Recruitment or HR,HR Generalist,I also handle a lot of administrative work and account management due to COVID,"50,000.00","3,000.00",,Pennsylvania,North Wales,5-7 years,5-7 years,,Woman,White
35-44,"Accounting, Banking & Finance",Client Experience Specialist,Administrative support for financial advisors/RIAs,"44,400.00","6,700.00",,Idaho,Boise,11-20 years,2-4 years,College degree,Woman,White
35-44,Government and Public Administration,Director of Marketing and Communications,,"119,000.00",,,Texas,Austin,11-20 years,11-20 years,College degree,Woman,White
35-44,Hospitality & Events,General Manager,Restaurant Management,"80,000.00",500.00,,Massachusetts,Springfield,11-20 years,11-20 years,College degree,Woman,White
35-44,Fundraising for a university,"Director, Donor Relations",,"100,440.00",,,California,Los Angeles,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Panel Administrator,Programming Surveys and Maintaining Database,"60,000.00","5,000.00",,Colorado,Fort Collins,5-7 years,2-4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Staff Accountant,,"41,600.00","5,000.00",,Florida,Orlando,8-10 years,5-7 years,College degree,Woman,White
18-24,Law,Program Coordinator,,"85,000.00","2,500.00",,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,White
45-54,Education (Higher Education),Senior Administrative Assistant,,"64,000.00",0.00,,Texas,Austin,21-30 years,8-10 years,Master's degree,Woman,White
35-44,Business or Consulting,VP of HR,,"137,000.00",,,Oklahoma,Oklahoma,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Business Architect,Supply Chain Planning,"157,029.00","31,405.00",,California,San Jose,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Government and Public Administration,Community Engagement Manager,,"72,000.00",600.00,,Colorado,Denver Metro Area,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Education (Higher Education),eLearning Specialist,,"72,000.00",0.00,,California,Los Angeles,11-20 years,11-20 years,Master's degree,Man,"Asian or Asian American, White"
35-44,"Accounting, Banking & Finance",Sr. Credit Analyst,Operations,"70,000.00","10,000.00",,Illinois,Chicago,11-20 years,11-20 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Senior Quality Manager,,"131,600.00","10,000.00",,Connecticut,Middletown,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,"Director, Corporate Communications",,"170,000.00","34,000.00","I also get additional spot bonuses, RSus, etc. My gross income last year was 250000",Massachusetts,Boston,21-30 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Software Engineer,,"155,000.00","135,000.00","Additional compensation is a mix of (guaranteed) cash bonuses and company stock (public company, so fairly effectively cash)",Colorado,Denver,5-7 years,5-7 years,College degree,Woman,White
35-44,Education (Higher Education),Grant/Finance Specialist,,"87,550.00",,,Rhode Island,Providence,21-30 years,8-10 years,Master's degree,Woman,White
45-54,Nonprofits,Program Coordinator,,"45,000.00",0.00,,California,Danville,21-30 years,8-10 years,College degree,Woman,White
25-34,Nonprofits,Director of Evaluation,,"68,500.00",200.00,,District of Columbia,Washington,5-7 years,5-7 years,PhD,Woman,White
25-34,Transport or Logistics,UX/UI Designer,"Aerospace, inflight entertainment","67,000.00",100.00,,California,Brea,8-10 years,2-4 years,College degree,Woman,Asian or Asian American
25-34,Business or Consulting,IO Psychologist,I work in consulting as an IO Psych (Master's Level),"90,000.00",,,District of Columbia,DC,2-4 years,2-4 years,College degree,Woman,Asian or Asian American
25-34,Computing or Tech,Hardware Engineer,,"79,040.00",,,Missouri,St. Louis,2-4 years,2-4 years,Master's degree,Man,White
25-34,Computing or Tech,PC support Tech 2,,"58,000.00",0.00,,Washington,Seattle,5-7 years,5-7 years,High School,Man,White
35-44,Education (Primary/Secondary),Director of Library and Database Services,I am a library director for a private all girls high school,"353,200.00","10,290.00","I receive additional stipends for teaching a class, coordinating a large event and a cash out from my benefits since I am on my husbands insurance.",Maryland,Baltimore,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Senior - Attack & Pen Testing,,"129,000.00","10,000.00",,Texas,Houston,2-4 years,2-4 years,College degree,Non-binary,White
35-44,Recruitment or HR,HRIS Analyst,,"49,900.00",,,Ohio,Cincinnati,8-10 years,2-4 years,Some college,Woman,White
45-54,Hospitality & Events,Manager,,"28,000.00",500.00,,Florida,St Pete Beach,5-7 years,5-7 years,Some college,Woman,White
35-44,"Accounting, Banking & Finance","Commercial Credit Officer, First Vice President",,"158,363.00","25,000.00",,Massachusetts,Franklin,21-30 years,21-30 years,College degree,Woman,White
35-44,Education (Higher Education),Accounts Payable Manager,,"100,000.00","10,000.00",,California,Santa Clara,11-20 years,8-10 years,Master's degree,Man,White
35-44,Nonprofits,Director of Programs,,"71,000.00",,,Massachusetts,Boston,11-20 years,2-4 years,PhD,Woman,White
35-44,Nonprofits,Senior Associate Director of Foundation Relations,,"90,000.00","1,600.00",,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Computing or Tech,Business Analyst,,"70,000.00","3,500.00",,North Carolina,Raleigh,2-4 years,1 year or less,College degree,Woman,Asian or Asian American
25-34,Government and Public Administration,GIS Specialist,,"53,000.00",,,Minnesota,Buffalo,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Computing or Tech,Computer Operator,,"48,000.00","2,000.00",,Oklahoma,Oklahoma,5-7 years,5-7 years,Some college,Man,Asian or Asian American
35-44,Government and Public Administration,Library Technician 1,Entry level library worker who does not need a master's degree in library sciences,"52,650.00",0.00,,Connecticut,Manchester,8-10 years,2-4 years,Master's degree,Woman,White
35-44,Property or Construction,Project Manager,,"95,000.00",0.00,,California,San Diego,11-20 years,5-7 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Compliance Manager,,"80,000.00","5,000.00",,Tennessee,Tennessee,11-20 years,11-20 years,College degree,Woman,White
35-44,Business or Consulting,Product Manager,,"125,000.00","12,500.00",,Ohio,Columbus,11-20 years,5-7 years,College degree,Man,White
35-44,Media & Digital,Site Director,Multiple websites,"103,000.00",0.00,,Pennsylvania,Easton,8-10 years,8-10 years,Master's degree,Man,White
35-44,"Leisure, Sport & Tourism",Senior Director,,"99,000.00",,Non-Profit,New York,New York,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Technical Sales Engineer,,"65,000.00","5,000.00",We get a bonus that is a percentage of our income but depends on how well the company does each year.,New York,Rochester,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Enterprise account executive,,"150,000.00","150,000.00",,Minnesota,Minneapolis,11-20 years,11-20 years,College degree,Man,White
25-34,Business or Consulting,Engagement Manager,Consulting team lead,"195,000.00","70,000.00",,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
25-34,Art & Design,Assistant Curator,,"58,500.00",,,New York,New York,8-10 years,5-7 years,College degree,Woman,Black or African American
55-64,"Accounting, Banking & Finance",Tax accountant,,"75,000.00","5,000.00",,New York,Albany,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Utilities & Telecommunications,Industrial Mechanic,,"58,000.00",,,Tennessee,Nashville,21-30 years,8-10 years,High School,Man,White
18-24,Media & Digital,Editor,Editor in production at full service ad agency,"49,920.00",0.00,,Texas,Austin,5-7 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,"Marketing, Advertising & PR",Creative Strategist,"Content marketing, reviewing designed projects for clients","38,000.00","2,000.00",,Missouri,Columbia,2-4 years,2-4 years,College degree,Woman,White
45-54,Education (Primary/Secondary),Classroom Teacher,,"53,500.00",0.00,I work 190 days per year. My pay is divided into 12 paychecks.,Georgia,Cumming,21-30 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Art & Design,Product Design Manager,Design Systems,"175,000.00",,,Texas,Denton,8-10 years,5-7 years,College degree,Man,White
45-54,"Accounting, Banking & Finance",Bookkeeper and office Assistant,"75% of my time is a full charge bookkeeper. The rest of the time I do filing, certified mail, deal with vendors, tend to copy machines etc.","47,200.00","3,500.00",,Texas,Midland,31-40 years,5-7 years,Some college,Woman,White
35-44,"Accounting, Banking & Finance",Associate Manager,,"71,750.00","5,740.00",,California,Los Angeles,11-20 years,2-4 years,Some college,Man,White
25-34,Hospitality & Events,Analyst,,"67,000.00",,,Kentucky,Louisville,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Recruitment or HR,Recruiting Manager,,"60,000.00","2,000.00",,Indiana,Oakbrook Terrace,5-7 years,5-7 years,College degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White"
35-44,Business or Consulting,Senior Biologist,,"80,000.00",,,Colorado,Lakewood,11-20 years,11-20 years,Master's degree,Woman,White
